date,Custom Index
2015-11-30,67.40151
2015-12-01,68.105316
2015-12-02,67.30591
2015-12-03,66.338936
2015-12-04,67.52185
2015-12-07,67.115685
2015-12-08,66.78343
2015-12-09,66.188446
2015-12-10,66.31917
2015-12-11,65.01916
2015-12-14,65.154045
2015-12-15,65.82963
2015-12-16,66.82367
2015-12-17,65.69946
2015-12-18,64.60829
2015-12-21,65.21138
2015-12-22,65.75489
2015-12-23,66.6198
2015-12-24,66.57729
2015-12-28,66.43031
2015-12-29,67.10368
2015-12-30,66.67597
2015-12-31,66.11006
2016-01-04,65.093
2016-01-05,65.24273
2016-01-06,64.39489
2016-01-07,63.437016
2016-01-08,62.506996
2016-01-11,62.42425
2016-01-12,62.884377
2016-01-13,61.113476
2016-01-14,61.842888
2016-01-15,60.74564
2016-01-19,60.773315
2016-01-20,60.07282
2016-01-21,60.376377
2016-01-22,61.669453
2016-01-25,60.610992
2016-01-26,61.72555
2016-01-27,61.12119
2016-01-28,61.104782
2016-01-29,62.83682
2016-02-01,63.03465
2016-02-02,61.67039
2016-02-03,61.816967
2016-02-04,62.08968
2016-02-05,60.833534
2016-02-08,59.350212
2016-02-09,59.223156
2016-02-10,59.455692
2016-02-11,58.736767
2016-02-12,60.02232
2016-02-16,60.977036
2016-02-17,61.808937
2016-02-18,61.555267
2016-02-19,61.669674
2016-02-22,62.821815
2016-02-23,62.28322
2016-02-24,62.921894
2016-02-25,63.657185
2016-02-26,63.655933
2016-02-29,63.271996
2016-03-01,64.770805
2016-03-02,65.01771
2016-03-03,65.38377
2016-03-04,65.51994
2016-03-07,65.64867
2016-03-08,64.85834
2016-03-09,65.1338
2016-03-10,65.05414
2016-03-11,66.24267
2016-03-14,66.10356
2016-03-15,66.022484
2016-03-16,66.47193
2016-03-17,66.91148
2016-03-18,67.35472
2016-03-21,67.277115
2016-03-22,67.22566
2016-03-23,66.737
2016-03-24,66.638565
2016-03-28,66.782684
2016-03-29,67.38363
2016-03-30,67.62205
2016-03-31,67.6293
2016-04-01,67.938545
2016-04-04,67.67087
2016-04-05,66.93119
2016-04-06,67.4167
2016-04-07,66.61265
2016-04-08,66.81813
2016-04-11,66.60678
2016-04-12,67.1459
2016-04-13,67.806465
2016-04-14,67.67091
2016-04-15,67.51481
2016-04-18,68.00073
2016-04-19,68.052605
2016-04-20,68.055626
2016-04-21,67.61714
2016-04-22,67.80326
2016-04-25,67.6354
2016-04-26,67.788895
2016-04-27,68.166275
2016-04-28,67.46876
2016-04-29,66.639755
2016-05-02,67.36249
2016-05-03,66.89628
2016-05-04,66.64414
2016-05-05,66.703636
2016-05-06,66.81387
2016-05-09,67.019455
2016-05-10,67.71807
2016-05-11,66.64058
2016-05-12,66.688965
2016-05-13,65.992325
2016-05-16,66.62601
2016-05-17,66.082306
2016-05-18,65.89081
2016-05-19,65.81144
2016-05-20,66.36927
2016-05-23,66.17772
2016-05-24,67.219864
2016-05-25,67.47968
2016-05-26,67.39678
2016-05-27,67.81398
2016-05-31,67.859886
2016-06-01,68.053085
2016-06-02,68.35651
2016-06-03,68.131065
2016-06-06,68.37176
2016-06-07,68.63802
2016-06-08,68.88899
2016-06-09,68.74876
2016-06-10,68.246254
2016-06-13,67.769226
2016-06-14,67.704796
2016-06-15,67.66484
2016-06-16,67.80799
2016-06-17,67.720825
2016-06-20,68.181015
2016-06-21,68.46333
2016-06-22,68.356445
2016-06-23,69.32224
2016-06-24,66.92269
2016-06-27,65.338776
2016-06-28,66.44271
2016-06-29,67.67706
2016-06-30,68.54625
2016-07-01,68.588356
2016-07-05,68.06361
2016-07-06,68.24795
2016-07-07,68.23243
2016-07-08,69.433
2016-07-11,69.727356
2016-07-12,70.139114
2016-07-13,70.13049
2016-07-14,70.46708
2016-07-15,70.32511
2016-07-18,70.51003
2016-07-19,70.454865
2016-07-20,70.80724
2016-07-21,70.51213
2016-07-22,70.98352
2016-07-25,70.91287
2016-07-26,71.12894
2016-07-27,70.619286
2016-07-28,70.998566
2016-07-29,71.041046
2016-08-01,70.704636
2016-08-02,69.92867
2016-08-03,70.06131
2016-08-04,70.108795
2016-08-05,70.569885
2016-08-08,70.52003
2016-08-09,70.46471
2016-08-10,70.415764
2016-08-11,70.839836
2016-08-12,70.75657
2016-08-15,70.922424
2016-08-16,70.18497
2016-08-17,70.283485
2016-08-18,70.53253
2016-08-19,70.52877
2016-08-22,70.59368
2016-08-23,70.72288
2016-08-24,70.32205
2016-08-25,70.318504
2016-08-26,70.062096
2016-08-29,70.484825
2016-08-30,70.34336
2016-08-31,70.15762
2016-09-01,70.16668
2016-09-02,70.61903
2016-09-06,70.58837
2016-09-07,70.91499
